BRUTIS-CSV-RIB,Bestand nummer:,Inspectie bestandnaam:,Aantal inspecties:,Aantal waarnemingen:,Aantal beelden:,Inspectie bedrijf:
RES,0,20,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211129_154201107.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1051,0,0,0,21,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,21,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211124_094113554.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,21,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211124_094113554.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1052,0,0,0,22,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,22,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221203_140626433.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,22,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221203_140626433.jpg,,,0              ,0unknown       ,,,good                                                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1057,0,0,0,23,20231102,0,3P,*unknown                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,23,0,0,0,0,0,DPC,L,0,0,1,,,,0              ,00             ,,,*unknown                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1062,0,0,0,24,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,24,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221206_105832430.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,24,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221206_105832430.jpg,,,0              ,0unknown       ,,,good                                                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1063,0,0,0,25,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,25,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221201_140814971.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,25,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221201_140814971.jpg,,,0              ,0unknown       ,,,good                                                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1069,0,0,0,26,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,26,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211130_085256228.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,26,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211130_085256228.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1070,0,0,0,27,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,27,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_090543398.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,27,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_090543398.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1076,0,0,0,28,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,28,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221205_144736229.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,28,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221205_144736229.jpg,,,0              ,0unknown       ,,,good                                                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1079,0,0,0,29,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,29,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221205_085856924.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,29,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221205_085856924.jpg,,,0              ,0unknown       ,,,good                                                        
